instance;solver;init;iter_0;iter_1;iter_2;iter_3;iter_4;iter_5;iter_6;iter_7;iter_8;iter_9;iter_10;iter_11;iter_12;iter_13;iter_14;iter_15;iter_16;iter_17;iter_18;iter_19
/mse21_complete_unwt__aes-key-recovery/AES1-50-15;inc-maxhs;0.58;1.19;0.17;0.16;0.16;0.16;0.16;0.16;0.17;0.19;0.18;0.17;0.16;0.17;0.16;0.16;0.16;0.17;0.17;0.17;0.17
/mse21_complete_unwt__aes-key-recovery/AES1-50-15;inc-maxhs-dja;0.66;1.32;0.22;0.29;0.2;0.19;0.2;0.19;0.18;0.18;0.18;0.18;0.18;0.18;0.18;0.18;0.18;0.18;0.18;0.18;0.18
/mse21_complete_unwt__aes-key-recovery/AES1-50-15;inc-maxhs-noc;0.68;1.29;0.16;0.17;0.17;0.17;0.17;0.17;0.17;0.16;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17
/mse21_complete_unwt__aes-key-recovery/AES1-50-15;inc-maxhs-noi;0;1.17;0.17;0.23;0.21;0.2;0.17;0.16;0.16;0.16;0.16;0.16;0.17;0.16;0.16;0.17;0.16;0.17;0.16;0.16;0.16
/mse21_complete_unwt__aes-key-recovery/AES1-50-15;maxhs;0;1.3;1.24;1.42;1.87;1.23;1.53;1.14;1.31;1.14;1.52;1.61;1.3;1.58;1.45;1.24;1.37;1.54;1.24;1.27;1.31
/mse21_complete_unwt__aes-key-recovery/AES1-60-18;inc-maxhs;6.83;7.63;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.19;0.17;0.19;0.17;0.17;0.18;0.19;0.17;0.18;0.17;0.17;0.22
/mse21_complete_unwt__aes-key-recovery/AES1-60-18;inc-maxhs-dja;6.84;9.65;1.49;1.35;0.97;0.78;2.72;1.44;1.97;1.7;4.48;1.77;1.55;0.94;0.84;1.65;1.02;0.83;0.96;0.86;1.04
/mse21_complete_unwt__aes-key-recovery/AES1-60-18;inc-maxhs-noc;6.84;7.65;0.28;0.22;0.21;0.18;0.17;0.17;0.17;0.19;0.17;0.19;0.17;0.17;0.18;0.19;0.17;0.18;0.17;0.17;0.18
/mse21_complete_unwt__aes-key-recovery/AES1-60-18;inc-maxhs-noi;0;4.13;0.33;0.38;0.31;0.2;0.17;0.16;0.17;0.17;0.16;0.17;0.17;0.18;0.18;0.17;0.18;0.17;0.18;0.17;0.17
/mse21_complete_unwt__aes-key-recovery/AES1-60-18;maxhs;0;5.35;7.06;25.32;6.24;4.61;8.08;6.8;7.39;8.67;4.96;8.94;5.16;9.1;11.21;11.09;12.58;6.35;9.23;12.26;7.75
/mse21_complete_unwt__aes-key-recovery/AES1-70-21;inc-maxhs;2.21;2.83;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17
/mse21_complete_unwt__aes-key-recovery/AES1-70-21;inc-maxhs-dja;1.97;2.68;0.18;0.19;0.18;0.18;0.18;0.18;0.18;0.18;0.18;0.18;0.18;0.18;0.18;0.18;0.18;0.18;0.18;0.18;0.18
/mse21_complete_unwt__aes-key-recovery/AES1-70-21;inc-maxhs-noc;1.99;2.6;0.23;0.21;0.2;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.21
/mse21_complete_unwt__aes-key-recovery/AES1-70-21;inc-maxhs-noi;0;2.33;0.17;0.23;0.21;0.19;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17
/mse21_complete_unwt__aes-key-recovery/AES1-70-21;maxhs;0;4.14;2.2;2.32;2.31;4.2;1.74;1.65;2.55;3.07;2.64;1.67;4.1;2.35;2.37;2.4;2.33;2.1;2.38;3.77;2.17
/mse21_complete_unwt__aes-key-recovery/AES1-72-29;inc-maxhs;24.21;25.53;0.22;0.18;0.19;0.17;0.18;0.17;0.17;0.17;0.33;0.18;0.18;0.18;0.18;0.17;0.18;0.18;0.18;0.18;0.18
/mse21_complete_unwt__aes-key-recovery/AES1-72-29;inc-maxhs-dja;24.41;44.59;43.32;23.22;9.2;33.88;9.8;30.08;5.17;34.37;7.6;5.04;1.96;1.87;1.55;1.41;1.05;1.15;1.28;1.22;1.16
/mse21_complete_unwt__aes-key-recovery/AES1-72-29;inc-maxhs-noc;25.05;26.17;0.21;0.21;0.17;0.17;0.17;0.23;0.18;0.18;0.17;0.17;0.19;0.18;0.18;0.17;0.17;0.17;0.17;0.17;0.17
/mse21_complete_unwt__aes-key-recovery/AES1-72-29;inc-maxhs-noi;0;11.38;0.54;0.35;0.27;0.21;0.18;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.19;0.17;0.17;0.17;0.17
/mse21_complete_unwt__aes-key-recovery/AES1-72-29;maxhs;0;100.08;43.23;10.59;44.88;46.52;17.84;106.38;13.8;64.15;17.03;61.76;8.27;127.46;24.99;46.71;14.11;20.62;82.14;14.77;196.37
/mse21_complete_unwt__aes-key-recovery/AES1-74-34;inc-maxhs;2.02;2.64;0.24;0.21;0.21;0.2;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17
/mse21_complete_unwt__aes-key-recovery/AES1-74-34;inc-maxhs-dja;1.62;2.28;0.2;0.18;0.19;0.21;0.18;0.21;0.18;0.18;0.19;0.19;0.19;0.18;0.18;0.18;0.18;0.18;0.18;0.21;0.19
/mse21_complete_unwt__aes-key-recovery/AES1-74-34;inc-maxhs-noc;1.78;2.39;0.19;0.21;0.21;0.18;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.22;0.21;0.2;0.17;0.17;0.17
/mse21_complete_unwt__aes-key-recovery/AES1-74-34;inc-maxhs-noi;0;11.14;0.36;0.26;0.23;0.2;0.18;0.18;0.17;0.17;0.16;0.16;0.16;0.16;0.16;0.16;0.16;0.16;0.2;0.17;0.16
/mse21_complete_unwt__aes-key-recovery/AES1-74-34;maxhs;0;2.71;4.54;4.42;4.66;5.14;4.28;6.52;9.13;4.21;2.27;4.57;3.73;4.12;4.03;2.29;6.34;3.89;4.29;6.28;3.92
/mse21_complete_unwt__aes-key-recovery/AES2-50-51;inc-maxhs;2.75;3.37;0.34;0.31;0.2;0.2;0.18;0.17;0.17;0.17;0.17;0.19;0.19;0.17;0.18;0.17;0.17;0.17;0.17;0.17;0.21
/mse21_complete_unwt__aes-key-recovery/AES2-50-51;inc-maxhs-dja;2.62;3.54;1.61;2.04;0.88;0.78;0.71;0.58;0.46;0.47;0.86;0.66;0.69;0.51;0.51;0.57;0.46;0.46;0.5;0.52;0.52
/mse21_complete_unwt__aes-key-recovery/AES2-50-51;inc-maxhs-noc;2.67;3.3;0.36;0.38;0.23;0.23;0.18;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.18;0.17;0.17;0.17;0.17;0.17;0.21
/mse21_complete_unwt__aes-key-recovery/AES2-50-51;inc-maxhs-noi;0;1.73;0.17;0.22;0.22;0.21;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.18;0.17;0.17;0.17;0.17;0.17;0.18;0.17
/mse21_complete_unwt__aes-key-recovery/AES2-50-51;maxhs;0;1.61;5.3;2.89;2.78;2.86;4.44;1.85;5.55;1.78;2.05;5.08;3.12;3.74;2.39;1.93;2.78;4.25;4.9;4.59;3.07
/mse21_complete_unwt__aes-key-recovery/AES2-50-54;inc-maxhs;0.71;1.32;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.21;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17
/mse21_complete_unwt__aes-key-recovery/AES2-50-54;inc-maxhs-dja;0.75;2.04;0.82;0.36;1.34;0.91;0.64;0.53;0.44;0.4;0.34;0.4;0.37;0.27;0.3;0.34;1.54;0.87;0.48;0.77;0.48
/mse21_complete_unwt__aes-key-recovery/AES2-50-54;inc-maxhs-noc;0.69;1.3;0.17;0.16;0.17;0.17;0.17;0.17;0.17;0.17;0.16;0.17;0.16;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17
/mse21_complete_unwt__aes-key-recovery/AES2-50-54;inc-maxhs-noi;0;1.31;0.28;0.28;0.22;0.2;0.17;0.2;0.18;0.18;0.19;0.17;0.29;0.18;0.2;0.17;0.17;0.17;0.17;0.17;0.17
/mse21_complete_unwt__aes-key-recovery/AES2-50-54;maxhs;0;1.39;1.48;2.97;1.53;1.39;2.48;1.41;1.47;1.98;1.79;1.38;1.79;1.64;1.53;1.22;1.42;1.42;1.67;2.93;2.34
/mse21_complete_unwt__aes-key-recovery/AES2-50-55;inc-maxhs;6.07;6.89;0.25;0.26;0.19;0.17;0.17;0.18;0.18;0.17;0.17;0.17;0.27;0.18;0.18;0.17;0.17;0.17;0.22;0.17;0.19
/mse21_complete_unwt__aes-key-recovery/AES2-50-55;inc-maxhs-dja;6.31;8.16;1.92;1.66;0.59;0.67;0.77;0.62;0.71;0.66;0.67;0.53;0.69;1.98;2.23;0.65;0.79;0.74;0.58;0.73;0.64
/mse21_complete_unwt__aes-key-recovery/AES2-50-55;inc-maxhs-noc;6.09;6.95;0.25;0.26;0.19;0.17;0.17;0.18;0.18;0.21;0.17;0.17;0.27;0.18;0.17;0.17;0.17;0.17;0.22;0.17;0.18
/mse21_complete_unwt__aes-key-recovery/AES2-50-55;inc-maxhs-noi;0;1.13;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.21;0.17;0.17
/mse21_complete_unwt__aes-key-recovery/AES2-50-55;maxhs;0;5.17;6.38;1.3;2.28;5.5;2.59;1.58;1.51;1.29;6.9;2.16;4.13;7.65;1.85;1.73;4.53;5.43;7.31;1.18;1.2
/mse21_complete_unwt__aes-key-recovery/AES2-60-58;inc-maxhs;3.97;4.72;0.37;0.33;0.18;0.18;0.19;0.17;0.17;0.17;7200;7200;7200;7200;7200;7200;7200;7200;7200;7200;7200
