"instance","maxdepth","ratio","solver","total_time","iter_0","iter_1","iter_2","iter_3","iter_4","iter_5","iter_6","iter_7","iter_8","iter_9","iter_10","iter_11","iter_12","iter_13","iter_14","iter_15","iter_16","iter_17","iter_18","iter_19","iter_20"
"anneal-un",2,20,"inc",7200,269.69,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"anneal-un",2,30,"inc",7200,560.13,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"anneal-un",2,40,"inc",7200,715.53,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"anneal-un",2,50,"inc",7200,1074.75,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"anneal-un",2,60,"inc",7200,819.65,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"anneal-un",2,70,"inc",7200,1201.89,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"anneal-un",2,80,"inc",7200,1872.57,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"audiology-un",2,20,"inc",311.85,14.86,144.44,37.96,0.01,4.55,29.1,9.23,32,4.18,0.02,0.01,0.02,0.08,0.03,18.6,4.61,4.95,5.89,0.02,0.05,0.04
"audiology-un",2,30,"inc",818.09,47.97,144.39,171.35,69.39,44.99,126.44,6.91,31.59,0.26,0.09,31.3,10.48,0.09,15.12,23.32,45.72,34.38,0.08,0.07,12.69,0.1
"audiology-un",2,40,"inc",2397.36,25.09,119.65,200.74,200.52,391.23,236.73,178.67,125.67,189.76,282.24,0.66,10.27,29.14,42.16,25.18,29.37,168.67,85.97,0.14,0.15,53.97
"audiology-un",2,50,"inc",6041.26,156.79,806.96,428.23,791.71,1362.26,1801.9,137.88,0.41,140.76,1.53,189.67,208.28,1.97,1.82,1.56,1.62,1.38,1.13,1.48,1.13,1.25
"audiology-un",2,60,"inc",7200,239.36,607.29,2276.17,454.71,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"audiology-un",2,70,"inc",7200,249.78,1209.71,2422.97,548.33,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"audiology-un",2,80,"inc",7200,260.65,2218.25,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"australian-credit-un",2,20,"inc",7200,1217.48,2277.24,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"australian-credit-un",2,30,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"australian-credit-un",2,40,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"australian-credit-un",2,50,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"australian-credit-un",2,60,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"australian-credit-un",2,70,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"australian-credit-un",2,80,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"breast-cancer-un",2,20,"inc",38.55,0.52,3.15,2.02,0.09,0.77,1.49,2.35,0.02,0.67,2.34,5.04,2.96,2.13,0.71,0.91,1.12,2.28,0.08,5.2,1.11,2.59
"breast-cancer-un",2,30,"inc",161.1,3.42,22.64,7.38,14.65,19.19,25.65,23.61,20.62,7.15,14.82,0.07,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06
"breast-cancer-un",2,40,"inc",7200,23.82,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"breast-cancer-un",2,50,"inc",7200,30.46,243.91,240.41,47.51,298.44,429.13,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
